"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","ribosome biogenesis","196/6781","312/17403",0.628205128205128,1.61224802332309,8.71895141000359,7.7876054097459e-18,4.93889935086085e-14,4.39466869491029e-14,"PNO1/BYSL/DCAF13/UTP20/PAK1IP1/URB2/EIF5B/NOP58/WDR12/WDR75/RPP40/DKC1/METTL5/DDX21/WDR43/UTP4/BRIX1/WDR46/GTPBP4/RIOK3/DDX10/NOLC1/NOP2/RPF2/URB1/NAT10/TMA16/WDR3/SRFBP1/UTP14A/NPM1/KAT2B/PRKDC/MTERF3/NMD3/RRP9/LYAR/EXOSC8/RBIS/RAN/DDX18/RNASEL/NOL6/RPL7L1/BOP1/GTF3A/DDX31/RRP1/DDX56/RIOK1/RRS1/EXOSC5/NOL8/PA2G4/RCL1/UTP15/GNL2/EXOSC2/NIP7/LTV1/RPS21/UTP18/DIS3/NOB1/DDX27/DIMT1/MPHOSPH10/DDX47/SIRT7/MALSU1/EXOSC3/NOC4L/DDX52/NOL10/XRN2/TRMT112/PDCD11/RRP15/RPS7/NOP14/XRCC5/RPL35/NOP56/AATF/WDR74/EBNA1BP2/NUDT16/UTP25/CUL4A/DHX37/HEATR1/SUV39H1/NHP2/NOM1/ZNF593/XPO1/RPUSD4/FASTKD2/MTG2/MRTO4/TRMT61B/TFB1M/NLE1/HEATR3/TSR1/MRM2/RPL7/UTP11/GTPBP10/BUD23/NSUN5/RPL35A/BMS1/RRP1B/ZNHIT6/EXOSC4/MAK16/LTO1/PPAN/LSG1/UTP6/LAS1L/EIF1AX/WDR36/RPL27/PES1/UTP23/METTL17/GRWD1/DDX55/RPL7A/GAR1/PWP1/FBL/NOC2L/RPS19/MYBBP1A/GNL3L/ISG20L2/WDR18/RRP36/AIRIM/TFB2M/CUL4B/NOL7/NPM3/NOL11/RRP8/ISG20/RPS15/REXO4/SDAD1/DDX54/RPS27A/EIF2A/EIF6/RPL38/RIOX2/ERI1/ESF1/RPL14/DNTTIP2/RPS12/POP7/EXOSC6/SURF6/MPHOSPH6/ERCC2/CHD7/RPS15A/IMP4/USP36/RPL10L/MTERF4/RPL26L1/YBEY/NAF1/TBL3/RPS4X/ABT1/MPV17L2/GTF2H5/PIN4/RSL24D1/RPL24/EXOSC9/RPUSD1/CDKN2A/RRP7A/DDX17/RPS13/ZNF658/KRI1/SPOUT1/ZNHIT3/NSUN4",196
"GO:0022613","ribonucleoprotein complex biogenesis","275/6781","482/17403",0.570539419087137,1.46425269287324,8.2586344547635,3.07931143842892e-16,9.7644965712581e-13,8.68852032706181e-13,"PNO1/BYSL/DCAF13/UTP20/WDR77/PAK1IP1/EIF2S2/URB2/EIF5B/NOP58/WDR12/WDR75/RPP40/DKC1/METTL5/DDX21/NUFIP1/WDR43/UTP4/BRIX1/WDR46/GTPBP4/RIOK3/DDX10/NOLC1/STRAP/RUVBL1/NOP2/RPF2/URB1/NAT10/TMA16/WDR3/SRFBP1/UTP14A/ATR/HSP90AB1/NPM1/KAT2B/SF3B3/PRKDC/MTERF3/NMD3/RRP9/LYAR/EXOSC8/RBIS/SRSF5/LSM2/RAN/DDX18/RNASEL/NOL6/RPL7L1/AGO2/EIF3M/BOP1/GTF3A/DDX31/RRP1/DDX56/TGS1/RIOK1/SNRPE/RRS1/EXOSC5/NOL8/SNRPF/PA2G4/RCL1/UTP15/GNL2/GEMIN5/EXOSC2/NIP7/LTV1/RPS21/UTP18/DIS3/NOB1/EIF3B/DDX27/EIF2S3B/DHX9/DIMT1/SNRPC/MPHOSPH10/DDX47/MCTS2/SIRT7/SNRPD2/MALSU1/EXOSC3/NOC4L/DDX52/NOL10/EIF2S3/XRN2/CELF6/SNRPG/EIF3J/TRMT112/PDCD11/RRP15/RPS7/NOP14/XRCC5/RPL35/EIF3E/NOP56/MCTS1/AATF/WDR74/EBNA1BP2/NUDT16/SNRPD1/UTP25/CUL4A/DHX37/HEATR1/SUV39H1/NHP2/SMN1/NOM1/ZNF593/EIF3H/XPO1/RPUSD4/FASTKD2/MTG2/MRTO4/TRMT61B/CLNS1A/TFB1M/NLE1/SNRPB/HEATR3/TSR1/MRM2/RPL7/UTP11/GTPBP10/BUD23/NSUN5/AAR2/RPL35A/BMS1/RRP1B/ZNHIT6/EXOSC4/MAK16/LTO1/PPAN/LSG1/UTP6/LAS1L/EIF1AX/WDR36/RPL27/PES1/SRPK1/UTP23/PRPF19/METTL17/GRWD1/DDX55/RPL7A/TARBP2/GAR1/PWP1/FBL/NOPCHAP1/RBMX2/NOC2L/RPS19/HSP90AA1/MYBBP1A/GNL3L/ISG20L2/WDR18/RRP36/AIRIM/PRPF6/TFB2M/CUL4B/SNRPB2/PRKRA/SNRPA1/NOL7/DDX20/NPM3/NOL11/SRSF1/RRP8/CELF4/ISG20/RPS15/REXO4/RSRP1/SDAD1/SRSF10/LUC7L2/DDX54/GEMIN6/KHDC4/EIF3G/SF3B6/USP39/NOL3/NCBP1/SF3A2/DENR/RPS27A/EIF3I/PRMT5/EIF2A/EIF6/LSM4/RPL38/RIOX2/ERI1/ESF1/RPL14/RUVBL2/DNTTIP2/RPS12/PTGES3/PRPF3/POP7/EXOSC6/SURF6/MPHOSPH6/ERCC2/CHD7/RPS15A/IMP4/USP36/RPL10L/MTERF4/DICER1/RPL26L1/SNRNP200/PHF5A/YBEY/NAF1/TBL3/DDX39B/RPS4X/ABT1/MPV17L2/GTF2H5/SF3A3/PIN4/CRNKL1/EIF3C/RSL24D1/RPL24/EXOSC9/EIF3CL/RPUSD1/CDKN2A/RRP7A/DDX17/RPS13/RBM5/ZNF658/EIF3L/KRI1/GEMIN2/SPOUT1/ZNHIT3/PUF60/GEMIN8/NSUN4/EIF3K",275
"GO:0006364","rRNA processing","142/6781","220/17403",0.645454545454546,1.65651754233084,7.82981473663169,1.09630862781276e-14,2.31759643919618e-11,2.0622142293699e-11,"BYSL/DCAF13/UTP20/PAK1IP1/NOP58/WDR12/WDR75/RPP40/DKC1/METTL5/DDX21/WDR43/UTP4/BRIX1/WDR46/GTPBP4/RIOK3/DDX10/NOLC1/NOP2/RPF2/URB1/NAT10/WDR3/SRFBP1/UTP14A/KAT2B/PRKDC/RRP9/LYAR/EXOSC8/DDX18/RNASEL/NOL6/RPL7L1/BOP1/RRP1/DDX56/RIOK1/RRS1/EXOSC5/NOL8/PA2G4/RCL1/UTP15/EXOSC2/RPS21/UTP18/DIS3/NOB1/DDX27/DIMT1/MPHOSPH10/DDX47/SIRT7/EXOSC3/NOC4L/DDX52/NOL10/XRN2/TRMT112/PDCD11/RRP15/RPS7/NOP14/RPL35/NOP56/WDR74/EBNA1BP2/NUDT16/UTP25/DHX37/HEATR1/SUV39H1/NHP2/RPUSD4/MRTO4/TRMT61B/TFB1M/TSR1/MRM2/RPL7/UTP11/BUD23/NSUN5/RPL35A/BMS1/RRP1B/ZNHIT6/EXOSC4/MAK16/PPAN/UTP6/LAS1L/WDR36/RPL27/PES1/UTP23/DDX55/RPL7A/GAR1/PWP1/FBL/RPS19/WDR18/RRP36/TFB2M/NOL7/NPM3/NOL11/RRP8/ISG20/RPS15/REXO4/DDX54/EIF6/ERI1/ESF1/RPL14/POP7/EXOSC6/MPHOSPH6/ERCC2/CHD7/IMP4/USP36/MTERF4/YBEY/NAF1/TBL3/ABT1/GTF2H5/PIN4/EXOSC9/RPUSD1/CDKN2A/RRP7A/DDX17/KRI1/SPOUT1/ZNHIT3/NSUN4",142
"GO:0016072","rRNA metabolic process","165/6781","267/17403",0.617977528089888,1.58599954598854,7.7097711900696,2.64418918412758e-14,4.19236195143428e-11,3.73039426739683e-11,"NIFK/BYSL/DCAF13/UTP20/PAK1IP1/NOP58/WDR12/WDR75/RPP40/DKC1/METTL5/DDX21/WDR43/UTP4/BRIX1/TCOF1/WDR46/GTPBP4/RIOK3/DDX10/NOLC1/NOP2/RPF2/URB1/NAT10/WDR3/SRFBP1/UTP14A/KAT2B/PRKDC/POLR1F/POLR1A/RRP9/LYAR/EXOSC8/DDX18/RNASEL/NOL6/RPL7L1/BOP1/GTF3A/RRP1/POLR1B/DDX56/RIOK1/NCL/RRS1/EXOSC5/NOL8/PA2G4/RCL1/UTP15/EXOSC2/RPS21/UTP18/DIS3/NOB1/DDX27/DIMT1/MPHOSPH10/DDX47/SIRT7/EXOSC3/POLR1G/NOC4L/DDX52/NOL10/MYC/XRN2/TRMT112/PDCD11/RRP15/RPS7/NOP14/RPL35/NOP56/WDR74/EBNA1BP2/NUDT16/UTP25/DHX37/HEATR1/SUV39H1/NHP2/RPUSD4/GTF3C4/MRTO4/TRMT61B/TFB1M/TSR1/GTF3C3/MRM2/RPL7/UTP11/BUD23/POLR1D/NSUN5/POLR1E/RPL35A/SMARCA4/BMS1/RRP1B/ZNHIT6/EXOSC4/MAK16/PPAN/UTP6/LAS1L/WDR36/RPL27/PES1/DDX11/UTP23/DDX55/MAPT/RPL7A/GAR1/PWP1/FBL/TAF1B/RPS19/MARS1/WDR18/RRP36/TFB2M/NOL7/NPM3/NOL11/PELO/RRP8/ISG20/RPS15/REXO4/DDX54/TOP1/EIF6/ERI1/ESF1/RPL14/POP7/EXOSC6/MPHOSPH6/ERCC2/CHD7/IMP4/USP36/XRN1/MTERF4/YBEY/NAF1/TBL3/ABT1/GTF2H5/IPPK/PIN4/EXOSC9/RPUSD1/CDKN2A/RRP7A/DDX17/KRI1/SPOUT1/ZNHIT3/SLFN12L/NSUN4",165
"GO:0007059","chromosome segregation","225/6781","432/17403",0.520833333333333,1.33668522341837,5.6618129678141,1.51980401697706e-08,1.9277194151337e-05,1.71529880737137e-05,"TEX11/HECW2/ECT2/DCAF13/HAUS6/NUP43/NTMT1/TRIP13/DPF3/NR3C1/RIOK3/MAPK15/PIBF1/CDC6/UHRF1/MZT1/KAT2B/DSN1/ACTL6A/SEPTIN1/TPX2/CCDC86/SMC4/SPDL1/SMARCC1/ANAPC7/RAN/KIF14/MAP3K20/DIAPH3/SKA3/FIRRM/FAM83D/CDK1/CHMP1B/CENPI/NEK6/UBE2C/SPATA22/NCAPG2/RRS1/BOD1/BRCA1/MAD2L1/SPC25/SMC2/SGO1/NUF2/NUP37/FBXO5/ANAPC1/CENPN/CENPW/CHMP6/VPS4B/RACGAP1/SIRT7/MAPRE1/TOP2A/ASPM/HJURP/CSNK2A2/MYBL2/BUB1B/CENPH/KNSTRN/SGO2/AURKA/CENPF/CCNE2/KIF23/MND1/KIF2C/MCMDC2/UBE2I/NSMCE2/SPC24/CENPK/ZWILCH/LOC100533997/CENPE/KIF18B/BUB1/KIF4A/TUBB/DLGAP5/CENPL/APC/HAUS2/KIF18A/CCNB1/KIFC1/SPICE1/CCNE1/TUBG1/PRC1/NCAPG/CCNB1IP1/KIF11/MKI67/CDC16/NCAPH/NCAPD3/ZW10/NCOR1/CENPQ/KIF4B/BIRC5/RECQL5/KPNB1/NUSAP1/CENPP/NCAPD2/CHMP2A/CENPU/RB1/MSH5/CENPO/CCDC69/PSRC1/PTEN/NEK2/PLK1/TUBGCP3/SMARCA4/HAUS7/RAD18/TTK/RCC1/FANCD2/HNRNPU/KNTC1/MEIOB/MIS18A/CHEK2/SRPK1/DUSP1/RCC2/KNL1/INCENP/NAA60/TACC3/MRE11/KIF15/CDT1/ARL8A/PTTG1/NUDC/CHFR/BRIP1/STIL/SMARCD1/P3H4/SPDYA/SASS6/MAD2L2/NDC80/GEM/CPAP/MAPRE3/DYNC1LI1/SPAG5/EHMT2/ESPL1/SMC1A/CEP192/SKA2/CDCA2/MAD1L1/TUBGCP6/GPSM2/BAZ1B/BEX4/TOP1/RNF212/ZNF207/ESCO2/NUP62/TPR/CDC20/CSNK1D/AURKB/MTCL2/STARD9/CCSAP/SKA1/RIPOR2/TENT4A/CDCA8/HASPIN/DRG1/ZWINT/CDC42/FMN2/ERCC2/STAG1/ANKRD53/STAG3/SLC25A5/BCCIP/HAUS5/SEH1L/CIAO2B/MEIOC/BCL7A/CDC27/BUB3/RNF212B/CHAMP1/CCNB2/RPS3/WASHC5/SMC3/TLK1/CHMP7/MAP1S/NDC1/PINX1/PHF13/SMARCAD1/TLK2/HAUS1/DDB1/CHMP2B/MISP",225
"GO:0051310","metaphase chromosome alignment","68/6781","103/17403",0.660194174757282,1.6943458521311,5.64696000806885,2.36172384953037e-08,2.33815931681137e-05,2.08051122797486e-05,"ECT2/PIBF1/KAT2B/DSN1/SEPTIN1/SPDL1/KIF14/SKA3/FAM83D/CDK1/CHMP1B/RRS1/BOD1/SPC25/SGO1/NUF2/CHMP6/VPS4B/RACGAP1/MAPRE1/KNSTRN/CENPF/KIF2C/SPC24/ZWILCH/CENPE/APC/KIF18A/CCNB1/KIFC1/SPICE1/ZW10/CENPQ/BIRC5/KPNB1/CHMP2A/RB1/PSRC1/NEK2/TTK/HNRNPU/KNTC1/RCC2/KNL1/INCENP/CDT1/NUDC/NDC80/GEM/SPAG5/SKA2/MAD1L1/ZNF207/NUP62/AURKB/SKA1/CDCA8/ZWINT/CDC42/ANKRD53/SEH1L/MEIOC/BUB3/CHAMP1/CHMP7/MAP1S/PINX1/CHMP2B",68
"GO:0000070","mitotic sister chromatid segregation","112/6781","191/17403",0.586387434554974,1.50492560441826,5.60624037458186,2.58074979780505e-08,2.33815931681137e-05,2.08051122797486e-05,"TRIP13/PIBF1/UHRF1/MZT1/KAT2B/TPX2/SMC4/SPDL1/ANAPC7/RAN/KIF14/SKA3/CDK1/CHMP1B/CENPI/UBE2C/NCAPG2/RRS1/BOD1/MAD2L1/SPC25/SMC2/NUF2/FBXO5/CHMP6/VPS4B/RACGAP1/MAPRE1/MYBL2/BUB1B/KNSTRN/CENPF/KIF23/KIF2C/NSMCE2/SPC24/CENPK/ZWILCH/CENPE/KIF18B/BUB1/KIF4A/DLGAP5/APC/KIF18A/CCNB1/KIFC1/SPICE1/TUBG1/PRC1/NCAPG/KIF11/CDC16/NCAPH/NCAPD3/ZW10/KIF4B/BIRC5/KPNB1/NUSAP1/NCAPD2/CHMP2A/RB1/PSRC1/NEK2/PLK1/TTK/RCC1/HNRNPU/KNTC1/CHEK2/DUSP1/KNL1/INCENP/KIF15/CDT1/NUDC/MAD2L2/NDC80/DYNC1LI1/SPAG5/ESPL1/SMC1A/CEP192/SKA2/MAD1L1/BAZ1B/ZNF207/NUP62/TPR/CDC20/AURKB/CCSAP/SKA1/RIPOR2/TENT4A/CDCA8/HASPIN/DRG1/ZWINT/STAG1/ANKRD53/BCCIP/SEH1L/BUB3/CHAMP1/SMC3/CHMP7/PINX1/PHF13/CHMP2B/MISP",112
"GO:0006260","DNA replication","155/6781","285/17403",0.543859649122807,1.39578078066424,5.38262253873176,7.76952550083432e-08,6.15929134078641e-05,5.48058239604905e-05,"S100A11/MCM6/DSCC1/BRCA2/CDK2/JADE3/RFC3/SSBP1/MCM10/E2F7/GTPBP4/DNAJC2/NOC3L/RUVBL1/CDC6/OBI1/ATR/ORC6/NUGGC/PRKDC/ACTL6A/CDC7/SET/DTL/EXO1/POLB/TIMELESS/CHEK1/ZPR1/PRIM2/GINS1/WDHD1/CDK1/RFWD3/RFC4/ACVRL1/RNASEH2A/MCM3/BRCA1/ASCC3/POLA1/FBXO5/DHX9/CTC1/POLD2/POLE3/NBN/FAM111B/MMS22L/ID3/FEN1/ASCC2/CDKN1A/DNA2/CCNE2/RECQL4/SSRP1/BARD1/DBF4/POLD4/TWNK/POLE2/GINS4/GINS3/RRM1/TICRR/BLM/CDC25A/CCNA2/CHTF18/TIPIN/NAP1L1/ATAD5/TOP1MT/ADRA2A/CCNE1/CDC45/BRPF3/ORC5/CHAF1B/MCM2/RECQL5/RPA3/TONSL/MCM7/PRIM1/POLA2/MCM4/PCLAF/CACYBP/EREG/WEE1/DBF4B/RTEL1/DDX11/ACTR5/NASP/E2F8/PCNA/MCM8/GRWD1/RFC2/TOPBP1/GINS2/LIG1/MRE11/CDT1/CDK2AP1/DNAJA3/DTD1/WDR18/POLQ/DACH1/RNASEH1/ORC3/SLX4/EGFR/DONSON/ORC1/EHMT2/TNFAIP1/LIG3/MCIDAS/RECQL/TOP1/TP53BP1/ESCO2/LRWD1/SUPT16H/MEAF6/WIZ/TRAIP/RUVBL2/RAD51/REV3L/NFIX/ZRANB3/CHAF1A/CHRAC1/RFC5/CARM1/EME1/ASCC1/MGME1/MCMBP/SMC3/RAD50/AICDA/UCHL5/ATRX/TTF1/ORC2/POLD1/RBBP7/TK1",155
"GO:0007088","regulation of mitotic nuclear division","75/6781","119/17403",0.630252100840336,1.6175014468256,5.40048342114849,8.81275554062568e-08,6.2100550709609e-05,5.52575233371863e-05,"MTBP/TRIP13/PKMYT1/FBXW5/TOM1L2/PDXP/IL1B/SPDL1/ANAPC7/CHEK1/SKA3/SH2B1/EDN3/UBE2C/NFE2L1/MAD2L1/SPC25/NUF2/FBXO5/BUB1B/AURKA/CENPF/SMPD3/NSMCE2/SPC24/ZWILCH/CUL7/BUB1/SPHK1/KIF20B/DLGAP5/PDGFRB/APC/CCNB1/MKI67/CDC16/ZW10/BIRC5/NUSAP1/RB1/BORA/NEK2/EREG/PLK1/TTK/RCC1/KNTC1/DUSP1/KNL1/INCENP/TGFA/PDGFB/MAD2L2/NDC80/DYNC1LI1/ESPL1/CDCA2/MAD1L1/IL1A/PRMT5/ZNF207/NUP62/TPR/CDC20/AURKB/SKA1/CDC25C/CDCA8/HASPIN/ZWINT/CDC42/DMRT1/INSR/BUB3/IGF1",75
"GO:0006403","RNA localization","116/6781","203/17403",0.571428571428571,1.46653464512187,5.34208755323539,1.05239352643912e-07,6.3835301036655e-05,5.68011168413596e-05,"SSB/XPOT/NUP43/CCT6A/XPO5/NOP58/DKC1/CCT4/METTL1/PNPT1/RAE1/RUVBL1/NUP58/ATR/TST/MAGOHB/NXT1/CCT3/NUP107/RAN/NOL6/CCT2/CKAP5/KIF5C/NUP205/BICD1/NUP188/CAPRIN1/NUTF2/NUP35/NCBP2/NUP160/NUP155/NUP37/DHX9/NUP93/CCT7/SIDT2/CCT8/MEX3D/CCT5/NUP98/C12orf50/CETN2/NHP2/HNRNPA1L2/XPO1/DDX19A/HNRNPA1/DDX39A/SEM1/STAU1/ENY2/PCID2/KPNB1/SLBP/TCP1/ALYREF/NUP133/ZNHIT6/THOC7/SRSF3/HNRNPA2B1/HNRNPU/NUP42/KHSRP/NCBP3/NUP85/NUP54/AGFG1/FBL/SIDT1/TOMM20/PRPF6/DHX36/SRSF1/MVP/NUP153/RANBP2/THOC3/SRSF7/AHCTF1/THOC2/HHEX/CPSF6/NCBP1/SMG6/FXR1/PPP1R21/KHDRBS1/PEG10/NUP62/TPR/RUVBL2/HSF1/ALKBH5/UPF3A/NSUN2/NAF1/DDX39B/RANBP17/POM121C/DDX25/PARN/IWS1/POM121/SEH1L/THOC6/UPF3B/WNK1/SMG7/MX2/NUP210/NDC1/MRPL18/SARNP",116
"GO:0042273","ribosomal large subunit biogenesis","48/6781","68/17403",0.705882352941177,1.81160162044467,5.35770435046161,1.20732293241541e-07,6.3835301036655e-05,5.68011168413596e-05,"PAK1IP1/WDR12/BRIX1/GTPBP4/NOP2/RPF2/URB1/TMA16/NPM1/DDX18/RPL7L1/BOP1/GTF3A/RRS1/NIP7/MALSU1/TRMT112/RRP15/RPL35/WDR74/EBNA1BP2/FASTKD2/MTG2/MRTO4/NLE1/HEATR3/MRM2/RPL7/RPL35A/ZNHIT6/MAK16/LTO1/PPAN/LAS1L/PES1/DDX55/RPL7A/NOC2L/AIRIM/SDAD1/EIF6/RPL14/SURF6/RPL10L/RPL26L1/RSL24D1/RPL24/ZNHIT3",48
"GO:0140014","mitotic nuclear division","152/6781","280/17403",0.542857142857143,1.39320791286578,5.29974095193107,1.20785810854598e-07,6.3835301036655e-05,5.68011168413596e-05,"ANLN/CDC14A/MTBP/TRIP13/PIBF1/PKMYT1/UHRF1/MZT1/KAT2B/FBXW5/TOM1L2/PDXP/IL1B/TPX2/CCDC86/SMC4/SPDL1/ANAPC7/RAN/KIF14/CHEK1/SKA3/SH2B1/CDK1/EDN3/CHMP1B/CENPI/UBE2C/UBE2S/NCAPG2/RRS1/BOD1/NFE2L1/MAD2L1/SPC25/SMC2/NUF2/FBXO5/CHMP6/VPS4B/RACGAP1/MAPRE1/MYBL2/BUB1B/KNSTRN/AURKA/CENPF/KIF23/SMPD3/KIF2C/UBE2I/NSMCE2/SPC24/CENPK/ZWILCH/CUL7/CENPE/KIF18B/BUB1/CTDP1/SPHK1/KIF4A/KIF20B/DLGAP5/PDGFRB/APC/KIF18A/CCNB1/KIFC1/SPICE1/RANBP1/TUBG1/PRC1/NCAPG/KIF11/MKI67/CDC16/NCAPH/NCAPD3/ZW10/KIF4B/BIRC5/KPNB1/NUSAP1/NCAPD2/CHMP2A/RB1/BORA/PSRC1/NEK2/EREG/PLK1/TTK/RCC1/HNRNPU/KNTC1/BANF1/CHEK2/DUSP1/KNL1/INCENP/TGFA/KIF15/CDT1/NUDC/PDGFB/MAD2L2/NDC80/DYNC1LI1/EPS8/SPAG5/ESPL1/SMC1A/CEP192/SKA2/CDCA2/MAD1L1/BAZ1B/IL1A/PRMT5/ZNF207/NUP62/TPR/CDC20/AURKB/CCSAP/SKA1/CDC25C/RIPOR2/TENT4A/CDCA8/HASPIN/DRG1/ZWINT/CDC42/STAG1/ANKRD53/DMRT1/BCCIP/SEH1L/REEP4/INSR/RPL24/BUB3/CHAMP1/SMC3/CHMP7/PINX1/PHF13/CHMP2B/IGF1/MISP",152
"GO:0002443","leukocyte mediated immunity","211/6781","411/17403",0.51338199513382,1.31756184357969,5.20559386131758,1.78812519706394e-07,8.29971223800963e-05,7.38514453484201e-05,"GRP/IL6R/TREM1/TLR9/VAMP2/SECTM1/KIT/DDX21/CD177/SMAD7/FCGR3A/STAP1/RNF8/HPRT1/FCGR1A/PLCG2/IL1B/EXO1/MAPK3/TLR3/SLAMF7/CD27/PVR/HSPD1/SCNN1B/C7/IL6/CADM1/ANXA3/KLRB1/HMGB1/FCER2/CEACAM1/DNASE1L3/KLRK1/KLRC2/ADAM17/CD7/CFI/CXCL6/TNFSF4/IGLL5/PTGDR/AZGP1/EXOSC3/TRAF3IP2/NBN/CD8A/CCR2/FCGR3B/CD1D/GFUS/MSH2/SPON2/GZMM/LAG3/ULBP2/DAO/CD96/KIF5B/B2M/CHGA/MASP2/RIF1/C8G/TUBB/KLRC1/MRGPRX2/PIK3CG/CD19/FCAR/CTSG/YWHAG/ATAD5/TBX21/FCMR/KIR2DL4/ULBP3/LAT/GPR15LG/SH2D1B/PIK3CD/CRK/ICAM1/KLRC4/BTK/CD160/APLF/CR2/CRTAM/TRPM4/CTSH/DENND1B/IL4R/PRDX1/IL2/C2/IL23A/SLAMF1/CD46/GZMB/VAV1/DNASE1/SPN/IL18RAP/CYRIB/PAXIP1/IL18/LYST/STXBP1/RAC2/SASH3/NECTIN2/SCN11A/CD40LG/FOXP3/CD226/VAMP8/USP5/ADGRE2/MSH6/MAD2L2/DHX36/PRKCD/PIK3C3/HLA-H/IL4I1/KLRC3/ERCC1/CD1C/NECTIN4/KLRD1/NCF1/LGALS9/XCL1/FCGR2B/TRAF2/NKG7/LAT2/FCER1A/CLCF1/CD55/RAB27A/TP53BP1/RNF19B/HCST/BCL10/KMT2E/IGLL1/NCKAP1L/RIPK3/LYN/ZP3/C1QA/HLA-C/NCR3/EXOSC6/CPLX2/ULBP1/WAS/CLU/SLAMF6/KMT5B/GATA2/CD81/GAB2/FZD5/ELANE/GRB2/BTN3A2/HLA-E/KDM5D/CSF2RB/CD2/TNFSF13/TICAM1/GNL1/HLA-A/IL23R/PRF1/RAET1L/DBH/PTPRC/PMS2/SERPINB9/F2RL1/PRKCZ/AICDA/IL2RB/SHLD1/NOD2/SCIMP/SLC15A4/TUSC2/HLA-G/C4BPB/KIR3DL1/ARID5A/HLA-F/MYO1G/P2RX7/C1QC/CLEC4G/NDST2/RIGI/RASGRP4/LILRB1/LAMP1/IL9R/PTGDS/RASGRP1",211
"GO:1905818","regulation of chromosome separation","52/6781","76/17403",0.684210526315789,1.75598227244856,5.27715713112666,1.83216605695577e-07,8.29971223800963e-05,7.38514453484201e-05,"TRIP13/MAPK15/SMC4/SPDL1/ANAPC7/SKA3/UBE2C/NCAPG2/MAD2L1/SPC25/SMC2/NUF2/FBXO5/CSNK2A2/BUB1B/CENPF/NSMCE2/SPC24/ZWILCH/BUB1/DLGAP5/APC/CCNB1/NCAPG/CDC16/NCAPH/NCAPD3/ZW10/BIRC5/NCAPD2/RB1/PLK1/TTK/KNTC1/DUSP1/KNL1/INCENP/CHFR/MAD2L2/NDC80/DYNC1LI1/ESPL1/MAD1L1/ZNF207/TPR/CDC20/AURKB/SKA1/CDCA8/HASPIN/ZWINT/BUB3",52
"GO:0042274","ribosomal small subunit biogenesis","67/6781","105/17403",0.638095238095238,1.63763035371943,5.23611277723109,2.14463589704745e-07,9.06752057271661e-05,8.06834599583956e-05,"PNO1/BYSL/DCAF13/UTP20/NOP58/WDR75/RPP40/WDR43/UTP4/WDR46/RIOK3/NAT10/WDR3/SRFBP1/NPM1/PRKDC/RRP9/NOL6/RIOK1/RRS1/RCL1/UTP15/LTV1/RPS21/UTP18/NOB1/DIMT1/MPHOSPH10/DDX52/NOL10/TRMT112/RPS7/NOP14/XRCC5/NOP56/AATF/UTP25/DHX37/HEATR1/NOM1/TSR1/UTP11/BMS1/UTP6/WDR36/UTP23/METTL17/FBL/RPS19/RRP36/NOL7/NOL11/RPS15/RPS27A/DNTTIP2/RPS12/SURF6/ERCC2/RPS15A/IMP4/TBL3/RPS4X/ABT1/GTF2H5/RRP7A/RPS13/KRI1",67
"GO:0006261","DNA-templated DNA replication","97/6781","166/17403",0.58433734939759,1.49966419282794,5.16826456184144,2.72420145169722e-07,0.000107980535041648,9.60818683062419e-05,"MCM6/BRCA2/CDK2/RFC3/SSBP1/MCM10/E2F7/NOC3L/CDC6/ATR/ORC6/NUGGC/PRKDC/CDC7/EXO1/POLB/TIMELESS/ZPR1/PRIM2/GINS1/WDHD1/CDK1/RFWD3/RFC4/MCM3/BRCA1/POLA1/FBXO5/POLD2/POLE3/NBN/MMS22L/FEN1/DNA2/CCNE2/BARD1/DBF4/POLD4/TWNK/POLE2/GINS4/RRM1/TICRR/BLM/TIPIN/ATAD5/CCNE1/CDC45/ORC5/MCM2/RECQL5/TONSL/MCM7/PRIM1/POLA2/MCM4/DBF4B/RTEL1/DDX11/E2F8/PCNA/MCM8/RFC2/TOPBP1/LIG1/MRE11/CDT1/CDK2AP1/DNAJA3/WDR18/POLQ/DACH1/ORC3/DONSON/ORC1/LIG3/MCIDAS/RECQL/TP53BP1/LRWD1/WIZ/TRAIP/RAD51/REV3L/ZRANB3/CHRAC1/RFC5/CARM1/EME1/MGME1/MCMBP/RAD50/AICDA/ATRX/ORC2/POLD1/TK1",97
